   obedience            n.服从，顺从；管辖
   disperse             vt.(使)分散；驱散
   strip                n.窄条，长带
   negligible           a.微不足道的
   margin               n.余地；幅度；赚头
   steady               a.坚定的，扎实的
   ham                  n.火腿；(兽类的)后踝
   Christian            a.基督教的
   economically         ad.节约地，在经济上
   patrol               n.巡逻 n.巡逻，巡查
   geographical         a.地理的；地区(性)的
   defy                 vt.向…挑战；蔑视
   devour               vt.吞食；吞灭，毁灭
   regiment             n.团，军团；一大群
   deepen               vt.加浓
   credit               vt.&n.相信，信任
   straightforward      a.老实的 ad.坦率地
   infinitely           ad.无限地，无边地
   sight                n.情景，名胜，风景
   main                 n.总管道，干线
   uproar               n.骚动，扰乱；喧嚣
   ion                  n.离子
   evaporate            vt.使脱水vi.发散蒸气
   bandage              n.绷带，包带
   offensive            a.冒犯的；进攻的
   chill                vi.感到寒冷；冷淬
   expenditure          n.(时间等)支出，消费
   petition             n.请愿 vt.向…请愿
   spectator            n.参观者，观众
   settlement           n.调停；(新)住宅区
   northward(s)         ad.向北方 a.向北的
   collaborate          vi.协作，合作；协调
   shovel               n.铲，铁铲 vt.铲
   streamline           n.流线；流线型
   pantry               n.食品柜，餐具室
   quench               vt.熄灭，扑灭；压制
   earthenware          n.陶器
   veto                 n.否决，否决权，禁止
   should               v.aux.应该，竟然会
   sham                 n.假冒；膺品 vt.假装
   promotion            n.促进；提升；创立
   tanker               n.油船；空中加油飞机
   environmental        a.环境的，环境产生的
   tangle               vt.使缠结，使纠缠
   outbreak             n.(战争、愤怒等)爆发
   fireplace            n.壁炉
   diplomatic           a.外交的；有策略的
   transplant           vt.&vi.移植，移种
   portable             a.可移动的
   filament             n.细丝；长丝；灯丝
   explicit             a.明晰的；直率的
   buffalo              n.水牛；水陆坦克
   presumably           ad.推测起来，大概
   reciprocal           a.相互的；互利的
   slim                 a.细长的；微小的
   initiate             vt.开始，创始；启蒙
   whoever              pron.究竟是谁
   rate                 n.价格 vt.对…评定
   spiral               a.螺旋(形)的，盘旋的
   representative       a.代表性的；代议制的
   faction              n.派别，宗派，小集团
   admiration           n.钦佩；赞美，羡慕
   decompose            vt.&vi.腐败；分解
   installment          n.分期付款
   dioxide              n.二氧化物
   inertia              n.惯性，惯量；无力
   identical            a.同一的；恒等的
   energetic            a.积极的；精力旺盛的
   hitherto             ad.迄今，到目前为止
   mount                v.装配；固定 n.支架
   magistrate           n.地方行政长官
   indicative           a.指示的；陈述的
   formulation          n.明确的表达
   overtake             vt.突然袭击，压倒
   peak                 n.(物体的)尖端
   hit                  n.轰动一时的人(或事)
   flatter              vt.奉承，阿谀，谄媚
   deficiency           n.缺乏；不足之数
   solar                a.利用太阳光的
   through              prep.因为，由于
   stem                 n.词干；(手表的)转柄
