   millionaire          n.百分富翁，巨富
   plump                vt.丰满的；鼓起的
   fill                 vt.担任(职务)；填补
   tabulate             vt.把…制成表
   inaugurate           vt.开始；使就职
   bait                 n.饵；引诱物
   cloudy               a.混浊的；模糊不清的
   significant          a.有效的
   motive               a.发动的，运动的
   conform              vt.使遵守 vi.一致
   conservative         a.有保存力的，防腐的
   sandwich             vt.夹入，挤进
   longing              n.渴望 a.显示渴望的
   inasmuch             ad.因为，由于
   specimen             n.抽样，样品
   stray                vi.迷路 a.迷路的
   fly                  v.飞跑，逃跑，消失
   napkin               n.餐巾(纸)
   consolidate          vt.巩固 vi.合并
   carry                vt.刊登
   grant                n.授予物，拨款
   dynamo               n.发电机
   random               n.随机 a.随机的
   antique              a.古代的 n.古物
   haunt                vt.常去 vi.经常出没
   liner                n.班船，定期班机
   compensate           vt.&vi.补偿，赔偿
   mesh                 n.网眼，筛孔，网络
   dock                 vt.把…引入船坞
   offset               n.分支，抵销 vt.抵销
   liable               a.有(法律)责任的
   straighten           vt.把…弄直vi.挺起来
   shady                a.可疑的，靠不住的
   foreign              a.无关的
   economics            n.经济学；经济
   hypothesis           n.假设；前提
   ruthless             a.无情的，冷酷的
   warehouse            n.仓库，货栈
   implement            n.工具，服装 vt.贯彻
   alert                a.警惕的；活跃的
   transform            vt.变压；变换
   leopard              n.豹
   southwards           ad.向南方
   neutron              n.中子
   ridicule             vi.&n.嘲弄，挖苦
   overestimate         vt.过高估计
   flee                 vi.逃走 vt.逃避
   champion             n.斗士；提倡者
   brace                n.支柱 vt.拉紧，撑牢
   producer             n.生产者；舞台监督
   disgrace             n.失宠，耻辱，丢脸
   disappearance        n.消失，消散；失踪
   objective            n.宾格 a.目标的
   jack                 n.起重器；传动装置
   confirmation         n.证实，确定；确认
   pledge               n.誓言 vt.使发誓
   grin                 vi.咧着嘴笑
   testify              v.证明，证实，作证
   fragile              a.脆的；体质弱的
   delegate             n.代表，委员，特派员
   recipe               n.菜谱，烹饪法；处方
   realization          n.(理想等的)实现
   novel                a.新的，异常的
   originate            vi.发源 vt.首创
   ward                 n.病房，病室；监房
   suicide              n.&vi.&vt.自杀
   oxidize              vt.氧化，使生锈
   exceptional          a.例外的；优越的
   optimism             n.乐观，乐观主义
   reckless             a.粗心大意的；鲁莽的
   multitude            n.大批，大群；大量
   nucleus              n.原子核；细胞核
   way                  n.状态，状况，规模
   ultimate             a.基本的，首要的
   morality             n.道德，美德，品行
   quartz               n.石英
   revenue              n.收入；收入数目
   residual             a.剩余的；残数的
   spite                n.恶意，怨恨
   contrast             vt.使对比vi.形成对比
   whilst               conj.同…同时；然而
   domestic             a.养在家里的
   cluster              n.一串 vt.使成群
   regularity           n.规则性；整齐
   orient               n.东方；亚洲，远东
   formal               a.形态的；规范的
   box                  n.专席
   maiden               n.少女，未婚女子
   forge                vt.打(铁等)，锻造
   vowel                n.元音；元音字母
   jean                 n.斜纹布，牛仔裤
   climax               n.(兴趣的)顶点
   penetration          n.穿入；渗透，侵入
   dwarf                n.矮子，侏儒
   instructor           n.指导者，教员
   microscopic          a.显微镜的，微观的
   immigrate            vt.(使)移居入境
   dessert              n.甜点心
   herd                 vt.放牧 vi.成群
   conceive             vt.设想，以为；怀孕
   vitamin              n.维生素，维他命
   locust               n.蝗虫；洋槐，刺槐
   clap                 n.拍手喝采声；霹雳声
   proverb              n.谚语，格言，箴言
   statistics           n.统计，统计数字
   sitting-room         n.起居室
   prototype            n.原型；典型，范例
   stout                a.矮胖的；坚固的
   barometer            n.气压计，睛雨表
   incredible           a.难以置信的，惊人的
   blush                vi.脸红，害臊 n.脸红
   sensor               n.传感器，灵敏元件
   cape                 n.披肩，斗篷；海角
   drama                n.戏剧性事件；戏剧性
   municipal            a.市的，市立的
   concentrate          vt.&vi.浓缩，提浓
   antarctic            a.南极的 n.南极区
   closet               n.小房间；壁碗橱
   jungle               n.丛林，密林，莽丛
   firework             n.爆竹，花炮，烟火
   resultant            a.作为结果而发生的
   impress              vt.盖印，在…打记号
   Saturn               n.农神；土星
   norm                 n.标准，规范；平均数
   haul                 vt.拖曳；拖运
   puff                 vi.喘气 vt.喷(烟等)
   construction         n.结构；作图(法)
   generosity           n.慷慨，宽宏大量
   diet                 n.饮食，食物
   deposit              n.押金；寄存物
   bacterium            n.细菌；拳击迷
   souvenir             n.纪念品，黄豆
   balcony              n.阳台；楼厅，楼座
   aviation             n.飞行
   snob                 n.势利小人
   miniature            n.缩影 a.缩小的
   tragic               a.悲剧性的，悲惨的
   illusion             n.幻想；错觉；假象
   execution            n.实行，执行；处死刑
   foster               vt.养育，抚养；培养
   profound             a.深刻的；渊博的
   interface            n.分界面
   dust                 n.垃圾，废品，灰烬
   restrain             vt.抑制，制止，遏制
   entertainment        n.招待，招待会
   advertise            vt.通知 vi.登广告
   erect                a.竖起的
   flame                vi.发火焰 vt.点燃
   dreadful             a.可怕的；令人敬畏的
   bankrupt             a.破产的 vt.使破产
   constitute           vt.构成，组成
   pineapple            n.凤梨，波萝
   banker               n.银行家
   pal                  n.好朋友；同谋
   likeness             n.同样；类似，相似
   assassinate          vt.暗杀，行刺；中伤
   bourgeois            a.资产阶级的；平庸的
   reptile              n.爬行动物；两栖动物
   Heaven               n.上帝，神
   enroll               vt.登记，招收vi.参军
   courteous            a.有礼貌的，谦恭的
   agitation            n.鼓动，煸动；搅动
   faultless            a.无过失的；无缺点的
   crooked              a.弯的，歪的；畸形的
   attorney             n.代理人；辩护律师
   reverse              n.背面，反面
   equivalent           a.等面(体)积的
   grab                 vt.&vi.攫取，抓取
   senseless            a.愚蠢的，无意义的
   panic                n.恐慌，惊慌
   coherent             a.粘着的；紧凑的
   periodic             n.周期的；一定时期的
   deviate              vt.(使)背离，偏离
   fair                 a.美丽的
   tolerant             a.容忍的；有耐力的
   slumber              n.睡眠；沉睡状态
   modification         n.缓和；修改；修饰
   embrace              vt.包括，包含；包围
   cradle               n.摇篮，发源地
   heave                vt.(用力地)举起；抛
   album                n.粘贴簿；相册；文选
   fluctuation          n.波动；脉动；踌躇
   cooperative          a.合作的 n.合作社
   assert               vt.断言，宣称；维护
   plea                 n.请愿，请求，恳求
   ware                 n.商品，货物；物品
   incorporate          vt.结合，合并，收编
   pore                 n.毛孔，气孔，细孔
   peril                n.危机；危险的事物
   Jupiter              n.丘庇特；木星
   usage                n.习惯法
   watchful             a.注意的，警惕的
   vicious              a.邪恶的；恶性的
